Generation,Individual,Fitness
0,0,16977543135.3738
0,1,16483808232.2208
0,3,16939142098.4606
0,2,16144297916.5035
0,5,16170898823.859
0,4,16460637112.8344
0,6,16677062322.5257
0,7,16638296135.7324
0,8,16315384431.6639
0,9,16479325232.403
1,1,16939142098.4606
1,0,16977543135.3738
1,2,16677062322.5257
1,3,16638296135.7324
1,4,16483808232.2208
1,5,17124927310.3369
1,7,17135326248.5008
1,6,17285881679.8544
1,8,16996331205.3728
1,9,16525077629.2288
2,1,17135326248.5008
2,0,17285881679.8544
2,3,16996331205.3728
2,2,17124927310.3369
2,4,16977543135.3738
2,5,17284918120.83
2,6,17421525671.1463
2,7,16982530595.9079
2,8,16437802952.2007
2,9,17517077893.8979
3,0,17517077893.8979
3,1,17421525671.1463
3,2,17285881679.8544
3,3,17284918120.83
3,4,17135326248.5008
3,5,17159721377.3532
3,6,17370404128.1114
3,7,17229930121.6965
3,8,17627699858.5375
3,9,17086763123.3959
4,1,17517077893.8979
4,0,17627699858.5375
4,2,17421525671.1463
4,3,17370404128.1114
4,5,16960775845.4062
4,4,17285881679.8544
4,7,17174919850.6227
4,6,17425694346.311
4,8,16988727812.178
4,9,16911301907.9862
5,1,17517077893.8979
5,0,17627699858.5375
5,3,17421525671.1463
5,2,17425694346.311
5,5,17410382724.6263
5,4,17370404128.1114
5,7,17041505042.0211
5,6,17296513840.6516
5,8,17549338769.7781
5,9,16941131980.6588
6,0,17627699858.5375
6,1,17549338769.7781
6,2,17517077893.8979
6,3,17425694346.311
6,4,17421525671.1463
6,5,17079527660.0738
6,6,17174198089.2883
6,7,17450363469.981
6,8,16815709478.7741
6,9,17654387860.529
7,1,17627699858.5375
7,0,17654387860.529
7,2,17549338769.7781
7,3,17517077893.8979
7,4,17450363469.981
7,5,18018919686.2312
7,7,17029102416.5019
7,6,17310318928.3547
7,8,17204466190.0554
7,9,17834624809.7124
8,0,18018919686.2312
8,1,17834624809.7124
8,3,17627699858.5375
8,2,17654387860.529
8,4,17549338769.7781
8,5,17967362181.7925
8,6,17410157559.1448
8,7,17774097948.5312
8,8,17126690300.0343
8,9,17126898256.804
9,0,18018919686.2312
9,1,17967362181.7925
9,3,17774097948.5312
9,2,17834624809.7124
9,5,17764294912.4811
9,4,17654387860.529
9,6,18071024428.084
9,7,17850680422.2705
9,8,17240283454.2131
9,9,17811472553.2214
