Generation,Individual,Fitness
0,0,16977543135.3738
0,1,16483808232.2208
0,2,16144297916.5035
0,3,16939142098.4606
0,5,16170898823.859
0,4,16460637112.8344
0,6,16677062322.5257
0,7,16638296135.7324
0,8,16315384431.6639
0,9,16479325232.403
0,11,16812665387.1862
0,10,17168139475.1144
0,12,17245318906.7217
0,13,16976144107.7429
0,15,16324124867.8634
0,14,17130934081.2298
0,16,16482052194.5379
0,17,16819940280.8977
1,0,17245318906.7217
1,1,17168139475.1144
1,3,16977543135.3738
1,2,17130934081.2298
1,5,16939142098.4606
1,4,16976144107.7429
1,6,16819940280.8977
1,7,16812665387.1862
1,8,16677062322.5257
1,9,16898340886.9016
1,10,16821603470.7246
1,11,17190243380.8288
1,12,17052469142.437
1,13,16715978448.5987
1,14,17483724442.197
1,15,16520928174.1974
1,16,17361010656.5864
1,17,17178483859.3298
2,0,17483724442.197
2,1,17361010656.5864
2,2,17245318906.7217
2,3,17190243380.8288
2,4,17178483859.3298
2,5,17168139475.1144
2,6,17130934081.2298
2,7,17052469142.437
2,8,16977543135.3738
2,9,17703280717.2252
2,10,17572928130.6003
2,11,17050598289.6143
2,12,17257713785.0443
2,13,17151833554.5331
2,14,17053447848.6538
2,15,17067652614.8151
2,16,16646572837.9141
2,17,16830536381.267
3,1,17572928130.6003
3,0,17703280717.2252
3,2,17483724442.197
3,3,17361010656.5864
3,4,17257713785.0443
3,5,17245318906.7217
3,6,17190243380.8288
3,7,17178483859.3298
3,8,17168139475.1144
3,9,17215802017.5137
3,10,17189365172.3765
3,11,17054856522.1351
3,12,16521948803.0216
3,13,16936276629.3038
3,14,17702837664.3123
3,15,17687059707.0674
3,16,17129555688.5291
3,17,17466808899.2251
4,1,17702837664.3123
4,0,17703280717.2252
4,3,17572928130.6003
4,2,17687059707.0674
4,4,17483724442.197
4,5,17466808899.2251
4,6,17361010656.5864
4,7,17257713785.0443
4,9,17122056096.4143
4,8,17245318906.7217
4,11,17500920925.8677
4,10,17030111011.8765
4,13,17464791043.5535
4,12,16918710233.1517
4,14,17120429816.8395
4,15,17578653462.6461
4,17,17266467440.6343
4,16,17468903189.4249
5,1,17702837664.3123
5,0,17703280717.2252
5,2,17687059707.0674
5,3,17578653462.6461
5,4,17572928130.6003
5,5,17500920925.8677
5,6,17483724442.197
5,7,17468903189.4249
5,8,17466808899.2251
5,9,16818795317.2193
5,10,17637789246.1173
5,11,17487938991.9137
5,12,17614160923.403
5,13,17253393531.443
5,14,17596931470.151
5,15,16992961278.0957
5,16,17359634572.6298
5,17,16899509401.3136
6,1,17702837664.3123
6,0,17703280717.2252
6,3,17637789246.1173
6,2,17687059707.0674
6,4,17614160923.403
