Generation,pop_size,best,worst,mean,median,stdev,best_improvement,best_improvement_pct,best_cumulative_pct
0,10,16977543135.3738,16144297916.5035,16528639544.15771,16481566732.311901,285641850.684527,0.0,0.0,0.0
1,10,17285881679.8544,16483808232.2208,16878339599.7607,16958342616.9172,278683594.9318026,308338544.48060036,1.8161552706537214,1.8161552706537214
2,10,17517077893.8979,16437802952.2007,17116386481.342152,17130126779.41885,302454859.3890743,231196214.043499,1.3374858067722604,3.1779318963999215
3,10,17627699858.5375,17086763123.3959,17311924822.33239,17285399900.3422,173338238.7984112,110621964.63959885,0.6315092352140204,3.82951006502852
4,10,17627699858.5375,16911301907.9862,17268400899.40516,17328142903.982903,249208359.02164754,0.0,0.0,3.82951006502852
5,10,17627699858.5375,16941131980.6588,17360127425.573997,17415954197.8863,217013428.88916263,0.0,0.0,3.82951006502852
6,10,17654387860.529,16815709478.7741,17371552309.8317,17438028908.146,267336963.7314279,26688001.991500854,0.15139809621035294,3.9867059665715097
7,10,18018919686.2312,17029102416.5019,17519629988.35791,17533208331.837997,292079580.9809395,364531825.70220184,2.0648227997596456,6.133847180088302
8,10,18018919686.2312,17126690300.0343,17609017723.1095,17641043859.53325,313612242.0846142,0.0,0.0,6.133847180088302
9,10,18071024428.084,17240283454.2131,17798714825.706642,17823048681.4669,233262830.1254113,52104741.85279846,0.2891668466262895,6.440751079182128
